"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0946397743876011,0.848476909197619,-1.75755305815365,1.57163740526295
"gamma_A[2]",-0.297271331581492,0.847540101964811,-1.96306878466853,1.33462904849984
"gamma_A[3]",-0.173140119139511,0.75056875660323,-1.64754923677576,1.2637990683846
"gamma_A[4]",-1.2272220620011,0.687987932653252,-2.57423891164861,0.115100154043371
"gamma_A[5]",-1.37505616633607,0.682557869374052,-2.71118270154166,-0.0326431997523382
"gamma_alpha",-0.283406196860337,0.0700221358265786,-0.420494989439786,-0.145961434610423
"gamma_beta",0.102739563780776,0.0335620102706546,0.036647764938585,0.16185945293282
"gamma_log_d",-0.830685256615027,0.409378772422845,-1.64241236414893,-0.0366834901590532
"phi",0.0681631828304971,0.021833157016676,0.0253289881042614,0.110989434141835
"rmse",10.5212296329329,0.0829464985893753,10.3595887242135,10.6849983175073
"sigma_A[1]",4.78060665803744,0.219561453294421,4.19013108803649,4.99430876982801
"sigma_A[2]",2.64390002931994,1.33787838133435,0.228825843298507,4.84790669245063
"sigma_A[3]",1.18093644583011,0.889292205126583,0.0409483863352388,3.31950492217468
"sigma_A[4]",4.03760554636069,0.69242929164266,2.38501430480474,4.95549661368915
"sigma_A[5]",4.75510023036242,0.242617577405369,4.10328890868875,4.99374127051831
"sigma_alpha",4.84176528201144,0.342271713825299,4.17011394698983,5.51555862873905
"sigma_beta",0.0333997266313958,0.0258688469715754,0.000781102743813052,0.0953941842061252
"sigma_epsilon",9.97148315918029,0.0276534578683557,9.89759996616899,9.99925727496344
"sigma_log_d",3.08538117119122,0.624903462267059,2.13352218283791,4.50491853528047
