"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0960602032211761,0.288301080553387,-0.471661507403881,0.66478562643536
"gamma_A[2]",0.764178717811517,0.309829872560182,0.16744327456203,1.379757020248
"gamma_A[3]",-0.0515327704788859,0.280658280018574,-0.587120273002162,0.518775133398519
"gamma_A[4]",-0.00372179516990551,0.24644961632153,-0.486660929151706,0.480926061370718
"gamma_A[5]",0.191597796840783,0.242272013127115,-0.28107865087253,0.669068854485461
"gamma_alpha",0.20447775499766,0.0669135330562665,0.0733972427792487,0.335873081060697
"gamma_beta",-0.0147087417455598,0.0169207049847397,-0.0485628147377144,0.0181222207158456
"gamma_log_d",0.195189441498995,0.464535048480438,-0.727999254202574,1.09519115795556
"phi",-0.0840226041202912,0.0331148137646547,-0.148911026322899,-0.0189990976828685
"rmse",3.17973704264801,0.0477310928481381,3.08521644733899,3.27218325512379
"sigma_A[1]",1.4276042015056,0.623958675144867,0.164940718454512,2.49466531958433
"sigma_A[2]",1.06053747724434,0.565151716873388,0.125706270873968,2.18455625876195
"sigma_A[3]",1.12354829777826,0.552272044113553,0.0830623129959311,2.12955013723943
"sigma_A[4]",1.44611657870835,0.453615897500842,0.444225586102401,2.2445656457962
"sigma_A[5]",1.64786747842845,0.46547486839316,0.501920661067508,2.42222486501045
"sigma_alpha",1.19515018755421,0.213778282076833,0.722173280794543,1.56666866222008
"sigma_beta",0.0229942248050711,0.0176585354636169,0.00083087279352852,0.0650347787652213
"sigma_epsilon",3.18106381233343,0.0630869181438649,3.05865035085194,3.30560803163955
"sigma_log_d",4.74030649620072,2.19988418759549,1.59648694391308,9.50356033809093
