"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.138784963605878,0.382540860083202,-0.901805041963876,0.599500869374275
"gamma_A[2]",0.477423547754251,0.403912128295743,-0.338061032101078,1.26456274658045
"gamma_A[3]",-0.0698234622996897,0.394954129393021,-0.838254974871314,0.694163357875793
"gamma_A[4]",-0.473583685536309,0.367397038066509,-1.18030658072402,0.277929451952999
"gamma_A[5]",0.0784856010643983,0.332851692540571,-0.583408298212904,0.730166825521395
"gamma_alpha",-3.74016723448848,0.0685675794959284,-3.87437755540994,-3.6045204796655
"gamma_beta",0.0269071920107853,0.0228734648919086,-0.0147096697894162,0.0755873657968421
"gamma_log_d",0.251934378762257,0.478842928789962,-0.722364635669176,1.16605593861699
"phi",0.0485321407969505,0.0563636538664989,-0.0620257821602483,0.158687508966875
"rmse",3.03486418651899,0.0390776503759146,2.96193036483893,3.11596484277612
"sigma_A[1]",0.471847053860728,0.345961449736092,0.0355606348206722,1.31862222655835
"sigma_A[2]",0.381679573015203,0.301154336098968,0.00370177995328643,1.10740981053186
"sigma_A[3]",0.404151074467788,0.327597219279857,0.0191919842696004,1.22700918440041
"sigma_A[4]",0.524592148540906,0.388915506052768,0.0273431406714334,1.46703604912236
"sigma_A[5]",0.412286088940141,0.302892632428086,0.0250571735718531,1.13687597628395
"sigma_alpha",0.883262653170734,0.185398218070881,0.475931250158334,1.19197949526904
"sigma_beta",0.0163640816808125,0.0126539018222864,0.000428961174587412,0.0471512421553
"sigma_epsilon",3.03844282739437,0.0750393298955929,2.89552245871903,3.18986177723052
"sigma_log_d",1.89837900202017,2.05280728553656,0.0274715898393633,7.84555162741919
