"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.965389182425745,0.271155107128477,0.432703912958865,1.49769029054309
"gamma_A[2]",0.0834310016394735,0.255164747516861,-0.409254412515647,0.604053696114963
"gamma_A[3]",0.16732956770887,0.241979098500256,-0.29651255630892,0.630977267342817
"gamma_A[4]",0.200640272060022,0.2254590919793,-0.244354271024439,0.640930079177813
"gamma_A[5]",0.414890848533319,0.241653211293804,-0.0563919302547424,0.892416276468173
"gamma_alpha",3.20269147697047,0.0680872412170785,3.07552869156651,3.33583016292109
"gamma_beta",-0.0292510870941955,0.0146655145894488,-0.0573660992227954,-0.000591469017207813
"gamma_log_d",0.2967932359911,0.467160938327437,-0.623844737431202,1.20311361334782
"phi",-0.117721018115423,0.0439691145211005,-0.202913223290903,-0.0300459246897073
"rmse",2.03942120529706,0.0423318905513987,1.95552537697226,2.12166079007342
"sigma_A[1]",1.55327252004301,0.238280430841962,1.08593896740907,2.03148990836748
"sigma_A[2]",0.487638297259081,0.330761751539366,0.0230217073008812,1.2129152939236
"sigma_A[3]",0.40869763385174,0.300336621784332,0.0107387258432773,1.08890507271355
"sigma_A[4]",1.18713551543412,0.359010540691427,0.354471963045007,1.80684493897279
"sigma_A[5]",1.63742508508585,0.360092485259272,0.883668880343696,2.32517256576722
"sigma_alpha",0.27747997328478,0.183247379839615,0.00783212127497829,0.665930490005369
"sigma_beta",0.0157624712849986,0.0115538651859004,0.000913978919514391,0.0433542683569956
"sigma_epsilon",2.04123651700017,0.0572516699027777,1.93041804183891,2.15480909423774
"sigma_log_d",6.72096525497407,1.94530392360304,3.03570648159305,9.83282997165878
