"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0335598097724976,0.860697127326949,-1.72514484101698,1.65074342747737
"gamma_A[2]",-0.323459525310851,0.876146693676255,-2.01676032960633,1.43519007543763
"gamma_A[3]",-0.122960879496906,0.802722680760927,-1.68359318120711,1.53371689159103
"gamma_A[4]",-1.3221091485837,0.712594659872145,-2.72459128902245,0.0620618753189785
"gamma_A[5]",-1.43059911060172,0.705497919868991,-2.8277359828054,-0.055896925481491
"gamma_alpha",-0.314450416828603,0.0700923705944131,-0.452064459453188,-0.176903410307653
"gamma_beta",0.0993606999934497,0.0375864395528873,0.0332757851268131,0.181501040302048
"gamma_log_d",-0.814563008386537,0.410234033210002,-1.62280658559085,-0.0134311683922525
"phi",0.0670006946832016,0.0219170228893214,0.0238461240711026,0.109871697445474
"rmse",10.6057584188936,0.0836754709329003,10.442111843328,10.7704066307311
"sigma_A[1]",4.79480917305069,0.203378144899809,4.24437305876583,4.99472748152955
"sigma_A[2]",2.74729435146218,1.31346291716915,0.279213463129893,4.85753231065438
"sigma_A[3]",1.29725230563363,0.874872384894017,0.131027955927471,3.38526816906864
"sigma_A[4]",4.14124935666843,0.668400484590438,2.49225550657826,4.96529416581829
"sigma_A[5]",4.76418412766931,0.228477174510007,4.1548257598461,4.99391296790498
"sigma_alpha",5.00684076611443,0.345135206239159,4.33156587922373,5.6865906820514
"sigma_beta",0.0350068191701278,0.0269739988274852,0.000253114195798052,0.100292973368781
"sigma_epsilon",9.97441191663739,0.0248471973068146,9.90807341769254,9.99934220354689
"sigma_log_d",3.11888185676493,0.626686371374835,2.14026302819001,4.59407722419208
