"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0547270063178042,0.288049924940766,-0.501877202448372,0.62109063201715
"gamma_A[2]",0.857690910259671,0.31435518636572,0.240609260291742,1.47804180604274
"gamma_A[3]",-0.0173451745899944,0.293456951730994,-0.591574785628054,0.559844913582575
"gamma_A[4]",-0.0194126642527458,0.25376629048865,-0.517113739797245,0.474565572469556
"gamma_A[5]",0.192980469525427,0.244903769424273,-0.286731175931316,0.67467482186589
"gamma_alpha",0.201466648357774,0.0667964218343794,0.0698437674275708,0.332588941092754
"gamma_beta",-0.0185128316295694,0.0161842629033274,-0.0510566884235607,0.0120647910996543
"gamma_log_d",0.134532604071556,0.456665381842331,-0.77115470753808,1.0233331475462
"phi",-0.0787943087317167,0.0336704072071184,-0.144491566708744,-0.0126451185259743
"rmse",3.2164693366213,0.0500711581400306,3.1170021698151,3.31312152515702
"sigma_A[1]",1.22010905769962,0.631447331521956,0.0578335552840855,2.33419025202223
"sigma_A[2]",1.33467407909875,0.656823101165086,0.0967651272435592,2.51367790370732
"sigma_A[3]",1.22824989054126,0.584089482937264,0.0950407935923468,2.24716687614347
"sigma_A[4]",1.45927331250648,0.494241278237658,0.343579588134891,2.30786951293558
"sigma_A[5]",1.64607787178059,0.464214504316493,0.578712320732014,2.44953566402541
"sigma_alpha",1.24126832264688,0.19375753974345,0.817661381700768,1.57885557068483
"sigma_beta",0.0238646144285922,0.0168953700603352,0.00148434607026852,0.0629149343280746
"sigma_epsilon",3.21784099740214,0.0655516702531574,3.09019871657341,3.34714826581752
"sigma_log_d",4.20309766061208,2.10619249907865,1.30243059704905,9.23065493737623
