"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.143114527216002,0.386626692512683,-0.897294392949202,0.600407213658944
"gamma_A[2]",0.461426803590438,0.414782192331992,-0.362664025687917,1.31822878538041
"gamma_A[3]",-0.176605401107039,0.393736384253818,-0.948589214756062,0.598209276536571
"gamma_A[4]",-0.421642272762613,0.354189860588446,-1.10527762787956,0.280163955974969
"gamma_A[5]",0.0810404644306639,0.336171014389069,-0.557832479815038,0.75585154930427
"gamma_alpha",-3.77314392335472,0.0685193346130442,-3.90727948435994,-3.63897027967905
"gamma_beta",0.0257327684286276,0.0220374828436617,-0.0162786399030849,0.0683111642031861
"gamma_log_d",0.23321757414241,0.486446029904973,-0.733520650284085,1.18427941123086
"phi",0.0468041519580447,0.0564497799173204,-0.0643008978909942,0.156762965751753
"rmse",3.04606404737915,0.0388453843635534,2.97251176169962,3.12565160106232
"sigma_A[1]",0.450231836804241,0.3685562408613,0.0195839867680989,1.38560276602282
"sigma_A[2]",0.3874271397605,0.307642021285906,0.0189884125408816,1.1540724435328
"sigma_A[3]",0.404620615817887,0.319033863042145,0.0268011457265658,1.22157787117062
"sigma_A[4]",0.526634432943924,0.404216715521932,0.0193594736045293,1.50250533145608
"sigma_A[5]",0.444864781711397,0.336715051613772,0.0183644033928577,1.24124649722938
"sigma_alpha",0.870907307746257,0.181342641996691,0.469859868102572,1.18268635007855
"sigma_beta",0.0177744920527508,0.0132232111114413,0.000596577191192766,0.0488565252528807
"sigma_epsilon",3.04940137411747,0.0753803836858923,2.90573609618998,3.20150016626783
"sigma_log_d",2.31871719450307,2.5441664016494,0.0711123617497635,8.7464729133679
