"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.836030940684829,0.275058905980313,0.301634414284503,1.37859408499975
"gamma_A[2]",0.059963267575328,0.264288844080319,-0.463969989305027,0.574024253152483
"gamma_A[3]",0.355431988637039,0.244606441706913,-0.124742879512806,0.830100313970351
"gamma_A[4]",0.221321133317367,0.229891629689554,-0.228140526321639,0.672094617811985
"gamma_A[5]",0.467501129596007,0.2557583448189,-0.0292846690975186,0.976524164404625
"gamma_alpha",3.26071118626284,0.0656285575835905,3.13218192450694,3.38844216589392
"gamma_beta",-0.0255030861692495,0.0143959524495214,-0.0545972833438828,0.00224793101748452
"gamma_log_d",0.231157796019545,0.465758802045027,-0.687336763521286,1.14020044723325
"phi",-0.0909506085559088,0.0485026244667355,-0.182580429515397,0.00850778908066578
"rmse",1.9943385431867,0.044701731271508,1.90524339782478,2.08038911048929
"sigma_A[1]",1.5488229807654,0.257012860966708,1.0589954109201,2.08333860077724
"sigma_A[2]",0.553650389264508,0.364569161644426,0.0234219717958714,1.35668461325799
"sigma_A[3]",0.472258619546231,0.307014493164483,0.0340025869303858,1.15980682856829
"sigma_A[4]",1.09685130161116,0.378900625166133,0.206674486625974,1.75679116266506
"sigma_A[5]",1.84581032917264,0.401922080467675,1.02674055421164,2.60953599168319
"sigma_alpha",0.300663116560026,0.188579490227182,0.00956824819422157,0.693268698253821
"sigma_beta",0.015744420592554,0.0114347497758013,0.00100340131450757,0.0428214226209541
"sigma_epsilon",1.99616404936001,0.0590977319850688,1.88137588801853,2.11290220578713
"sigma_log_d",5.99200850319701,2.09216687303345,2.47178977436601,9.74009444934249
