"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-1.10693509264742,0.569958065189874,-2.24129302938909,0.00268880096603413
"gamma_A[2]",-0.714242233915087,0.551319581536869,-1.78517154326236,0.384391057864839
"gamma_A[3]",-0.178277898814552,0.452168611556818,-1.07913143055698,0.681295767799324
"gamma_A[4]",-1.19696526173375,0.476736588336686,-2.13064227291304,-0.260350556006754
"gamma_A[5]",-0.700691376464081,0.394016594697227,-1.4583038139055,0.0947183375496816
"gamma_alpha",-0.36355825029992,0.0683512869737677,-0.498041797249404,-0.229840859814435
"gamma_beta",0.0224174702861632,0.0212620516927227,-0.0175634965912062,0.0643980621928712
"gamma_log_d",-1.52705649945533,0.358310531874529,-2.24917110676222,-0.84551317402141
"phi",0.237253442759449,0.0262207338957316,0.18573343976958,0.288638229750569
"rmse",6.18879296126159,0.0584630541331436,6.04632080743219,6.2757817025733
"sigma_A[1]",3.63518851462939,0.972458702746794,1.00962550656164,4.90182314759915
"sigma_A[2]",1.69522229458166,1.32903865949055,0.00727128286654862,4.48038012889984
"sigma_A[3]",0.696860289814813,0.492376259169001,0.043242854506819,1.89873642906919
"sigma_A[4]",4.28265807047872,0.417386742007255,3.37656587814316,4.94512244232883
"sigma_A[5]",0.721149605442438,0.559198806528841,0.0157504105810421,2.05414716160181
"sigma_alpha",0.7785609481364,0.478192423423611,0.0312874885716354,1.83201362511601
"sigma_beta",0.0151520183473752,0.0114003900686481,0.00077860317114673,0.0415474296883548
"sigma_epsilon",6.19154759303372,0.0998651702340218,5.98667095482387,6.38027889379024
"sigma_log_d",2.58675373366593,0.327333796054227,2.01600590216429,3.29250514375526
