"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0365046216339703,0.14662912530445,-0.325917665624073,0.254019525210854
"gamma_A[2]",0.342002513749858,0.155936279488295,0.0458969907082516,0.648880287777538
"gamma_A[3]",-0.00509528742302841,0.138012121214793,-0.28078560347568,0.267631840292763
"gamma_A[4]",-0.0302500191765483,0.13563670539728,-0.294914121438256,0.236535100947045
"gamma_A[5]",0.0355595547130282,0.11663893433658,-0.192561707807413,0.266147255370901
"gamma_alpha",-0.107902041889862,0.059466223337683,-0.224411600181867,0.00894928138886551
"gamma_beta",-0.0192321293282522,0.0102076151107735,-0.03977829208275,0.000587484310282372
"gamma_log_d",0.335729991057432,0.472404020318431,-0.600066981261561,1.25453048179344
"phi",-0.0659859379185501,0.0341235456456557,-0.132600488064744,0.00131846149420642
"rmse",1.57458443317937,0.0233134514153603,1.52862509205198,1.62035684113853
"sigma_A[1]",0.608528480905836,0.300060770942996,0.0800314092162959,1.15800553218125
"sigma_A[2]",0.405208456790547,0.239576961984727,0.0360555453363163,0.918975470828275
"sigma_A[3]",0.342740516565821,0.213648466573316,0.0306635061541234,0.800208418527712
"sigma_A[4]",0.987107738453936,0.211359125839464,0.478191345984674,1.3319684645056
"sigma_A[5]",0.430647499888362,0.252364604319114,0.0175851783447003,0.900144521919126
"sigma_alpha",0.639046849915982,0.0883832919740888,0.449557508614956,0.792084466164017
"sigma_beta",0.0175589359464145,0.0133048809955718,0.000993094211008719,0.0502905752352089
"sigma_epsilon",1.57521379326006,0.0311771586704687,1.51467621975535,1.63702519473215
"sigma_log_d",5.14262226596622,2.49469667289837,0.705330901134088,9.69786136300488
