"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0805032920519859,0.192705116304852,-0.462592158484945,0.287441375765443
"gamma_A[2]",0.195702826575079,0.216188430837254,-0.228796045827159,0.617839245346824
"gamma_A[3]",0.0925772676407078,0.215748222281644,-0.333132501790391,0.523185387972149
"gamma_A[4]",0.0965849988009561,0.173187894512932,-0.253019511858397,0.42043780004878
"gamma_A[5]",0.0113759576234148,0.150925091007722,-0.293995510463605,0.310739085322044
"gamma_alpha",-1.98780132967964,0.0619719839128842,-2.1106123892207,-1.86764126993229
"gamma_beta",-0.0112620484832151,0.0118654347648073,-0.0331575477220088,0.014934962595737
"gamma_log_d",-0.0290385426601174,0.448310265248063,-0.881148067150618,0.902825171310219
"phi",0.112269888075327,0.0525479911892249,0.00877455143105986,0.214558802529858
"rmse",1.29984786613364,0.0192235554976318,1.26301799569121,1.33866314568348
"sigma_A[1]",0.297427153621441,0.212464317785838,0.00659559396626523,0.782802545424728
"sigma_A[2]",0.209944162386323,0.166430153803057,0.00803842672552826,0.611541210265983
"sigma_A[3]",0.724227730799022,0.348340681341667,0.0438662040855262,1.34198153374011
"sigma_A[4]",0.230716458489061,0.167952556437669,0.0108950614961969,0.622460877610964
"sigma_A[5]",0.183155802140656,0.137946227690431,0.00772766879353237,0.508006784401278
"sigma_alpha",0.435246095558483,0.0870567508540088,0.236144727300116,0.584833927312068
"sigma_beta",0.0147964043903325,0.0102702042004556,0.000620863131874992,0.0371401224176552
"sigma_epsilon",1.30131476609172,0.0328762701765873,1.23860530552987,1.36754688983485
"sigma_log_d",1.24942787514586,2.04111399988816,0.0213575472321587,8.54628843061878
