"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.270304780547754,0.142074860693635,-0.00869957508090367,0.551195575943263
"gamma_A[2]",-0.0727322574051923,0.114747012362485,-0.296331151374119,0.154399778458337
"gamma_A[3]",0.0409069907688026,0.107504174646314,-0.172851757942007,0.255297294029941
"gamma_A[4]",0.238852572856386,0.111221165296385,0.0181787052801816,0.456907346647814
"gamma_A[5]",0.456820664587091,0.127513692276463,0.206819517875977,0.707203685643278
"gamma_alpha",1.63760082370019,0.0547899341944357,1.53019851999052,1.74763549516598
"gamma_beta",-0.00668370380413037,0.00774708442303851,-0.0219986986337765,0.010004653206166
"gamma_log_d",-0.0599485138287873,0.444620315825318,-0.933377539906313,0.815999922030229
"phi",-0.0273342382697341,0.0518765208831391,-0.129417854353993,0.0739662733386095
"rmse",0.824444627697001,0.0193785126684218,0.78708694869424,0.863181294992861
"sigma_A[1]",0.605315272880831,0.16558016029289,0.268585387248754,0.933039027992083
"sigma_A[2]",0.212454139867448,0.154907663463818,0.00490608184621092,0.571803802492974
"sigma_A[3]",0.223351139628577,0.149559610753947,0.0120760892971171,0.546298683111319
"sigma_A[4]",0.471898408570934,0.164588463658214,0.0938794408883126,0.763407219343481
"sigma_A[5]",0.91025850664275,0.131808690741381,0.64584175371719,1.16392466725904
"sigma_alpha",0.0927480823871942,0.0636514577019941,0.00459475563908547,0.233080188675215
"sigma_beta",0.00720413574833133,0.00546775002422811,0.000179279792196571,0.0199017013447202
"sigma_epsilon",0.825430083420724,0.0263798126252993,0.775100467090399,0.878588323580369
"sigma_log_d",4.08892439345761,1.94806552672391,1.68370406291089,9.14166834930097
