"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0710842343841216,0.165049830199284,-0.251180362534279,0.397338266012461
"gamma_A[2]",0.31184059329448,0.160277652108401,0.0098880319103389,0.632211842240291
"gamma_A[3]",0.443789126153345,0.162690312954103,0.128951941244148,0.763089295139918
"gamma_A[4]",0.282324023784212,0.155128233895974,-0.00946419331839975,0.607947291728255
"gamma_A[5]",-0.0418010951075671,0.133017316891752,-0.303818214657822,0.204527230204976
"gamma_alpha",0.180697286188226,0.0621097003086434,0.0610973501870007,0.303680336440658
"gamma_beta",-0.0231263017290249,0.0110545348338554,-0.0459040542910813,-0.00248380087386078
"gamma_log_d",0.0426421025455252,0.385372490628083,-0.659984132124802,0.916190081436819
"phi",-0.00211962130406519,0.0323596992385421,-0.0647320796579347,0.0621014507656516
"rmse",1.82396291407639,0.0221667078198759,1.7798824789804,1.86716040112502
"sigma_A[1]",0.917346312667138,0.307922726665836,0.172419112870359,1.40423714404194
"sigma_A[2]",0.47094370819656,0.317330651598757,0.013517197717645,1.11776063614095
"sigma_A[3]",0.640319086826836,0.281737669814433,0.0834471278934096,1.13972134829068
"sigma_A[4]",0.699995568002386,0.27903295849328,0.108062310028451,1.18577017917564
"sigma_A[5]",0.277496622571168,0.173106360770528,0.00588377808686587,0.661416495481534
"sigma_alpha",0.378071708301259,0.167277236007495,0.0432062913852789,0.661347810048244
"sigma_beta",0.016679550422333,0.0120679304401245,0.00105851484018662,0.046461144343908
"sigma_epsilon",1.82460198136621,0.0312839566909261,1.76376210423136,1.88617478313727
"sigma_log_d",3.27467157015829,1.92954420760151,0.619618688677057,8.46584638096631
