"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0317247529820216,0.210275891867714,-0.43186215159571,0.385655503230131
"gamma_A[2]",0.30319627686814,0.229253357875785,-0.135111620525579,0.761994531424034
"gamma_A[3]",0.163148931705896,0.230000967860166,-0.303295296349113,0.602374142521642
"gamma_A[4]",0.0848326712994364,0.220401488129986,-0.353385254778941,0.507160897805772
"gamma_A[5]",0.240971570279375,0.177514855477641,-0.129111044802361,0.570649247420665
"gamma_alpha",-1.93136269388559,0.064155796096375,-2.05680223986654,-1.80640664420976
"gamma_beta",-0.0327101254953834,0.0146585816245962,-0.0603511915088792,-0.000886005154802932
"gamma_log_d",0.168325733283521,0.500856545896409,-0.894259316709085,1.10467251384607
"phi",0.151654503050781,0.056964487158029,0.0391786316584746,0.262473407366427
"rmse",1.4922883484738,0.0191508489755451,1.45597951173692,1.5308925721071
"sigma_A[1]",0.269145880453383,0.227618304798856,0.00305121365949898,0.836589842781496
"sigma_A[2]",0.181072652743085,0.141073692471345,0.00222074386942999,0.524862866960542
"sigma_A[3]",0.203631688124435,0.147457356911141,0.0121026277743351,0.559221548793584
"sigma_A[4]",0.188677779872033,0.136844506059377,0.0102984458389779,0.513294050293305
"sigma_A[5]",0.166019924524836,0.116387582100964,0.0122682001396399,0.445693643039797
"sigma_alpha",0.365755952920844,0.114484158774672,0.0686473831395406,0.552743321347659
"sigma_beta",0.00968690768935285,0.00710037049314573,0.000556383044572573,0.0264876215607528
"sigma_epsilon",1.49391512921636,0.0366369489865272,1.424031489987,1.56723756396449
"sigma_log_d",1.47887756831491,2.11155348061471,0.0303469370571779,8.23477219596255
