"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.341388585518523,0.215064315374656,-0.0825186366903216,0.766209644508575
"gamma_A[2]",0.106663093087753,0.168368218841264,-0.228411230988238,0.435835652512768
"gamma_A[3]",0.437438655447846,0.192811734219368,0.0621558178373186,0.817559125796672
"gamma_A[4]",-0.0176503877729468,0.12873477592718,-0.261599878476698,0.236350852195509
"gamma_A[5]",0.0236397192794496,0.130629643012122,-0.234813155319643,0.276249739420487
"gamma_alpha",2.28538976181258,0.0613997750766975,2.16723114941455,2.40787330056731
"gamma_beta",-0.021105928818927,0.00949636520170288,-0.0401660425764748,-0.00198933871945197
"gamma_log_d",-0.286954878700573,0.376988960159675,-1.05186089614972,0.422101724160465
"phi",0.00558258674330141,0.0469275646231621,-0.0854579779649325,0.0989128950538023
"rmse",1.18600450533925,0.0253671641157442,1.13469478968401,1.23412005978166
"sigma_A[1]",1.07144089425535,0.233122506365559,0.604812065084855,1.52207025124178
"sigma_A[2]",0.45411162334945,0.26139236414168,0.0432302505161728,0.993262158713909
"sigma_A[3]",1.4038126012397,0.223284966848846,0.952461589676346,1.83549271746492
"sigma_A[4]",0.176836069662117,0.125212674278102,0.00663341397096272,0.469554234603881
"sigma_A[5]",0.367245894294179,0.217645462483211,0.0210170369690287,0.786768546541505
"sigma_alpha",0.241054340720756,0.140730568698401,0.00984788867074693,0.512974107170515
"sigma_beta",0.0098350177049114,0.00767736292156315,0.000297008050504268,0.0282430691972095
"sigma_epsilon",1.18716940378383,0.0340475474281971,1.12059590751384,1.25418281797327
"sigma_log_d",2.18417889501307,0.672514355888082,1.07054857375731,3.71166528710243
