"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.471106729610807,0.142299008505025,0.193838005100562,0.751276957679217
"gamma_A[2]",0.36913780958105,0.134114270541656,0.104116415437082,0.638799035807988
"gamma_A[3]",0.490838660945176,0.136247516546234,0.224751186906562,0.758668982411802
"gamma_A[4]",0.12590454996664,0.114724542565532,-0.108415547563937,0.349811069811087
"gamma_A[5]",0.32843646580006,0.106820378854598,0.119878108168721,0.538673674680629
"gamma_alpha",2.56796916155655,0.055669725884261,2.45913642708115,2.67754525191591
"gamma_beta",-0.0438565036127403,0.00832267983727113,-0.0596556262317393,-0.0280483299410899
"gamma_log_d",-0.148941712897863,0.422959596112392,-0.993928158204306,0.669709683177928
"phi",0.00265590653048984,0.0270205174655128,-0.0503154798708373,0.055623355085499
"rmse",1.68516185950116,0.0216786155262472,1.64178641561813,1.72648657667837
"sigma_A[1]",1.16869869447605,0.137656157994573,0.899621219061093,1.44246542403842
"sigma_A[2]",0.300615185564866,0.190187787056806,0.0203057319870287,0.722741229793964
"sigma_A[3]",0.977091203658275,0.180798382155325,0.599714027137632,1.30778492542265
"sigma_A[4]",0.275527089404457,0.200496277882993,0.000255114443463834,0.708846651168083
"sigma_A[5]",0.833687488674866,0.205512537504482,0.368551568241872,1.19151784121315
"sigma_alpha",0.321369325106491,0.126181209261215,0.0308366228018018,0.525993871093925
"sigma_beta",0.00709285788824135,0.00507139467705773,0.000297362595252645,0.0190350374275189
"sigma_epsilon",1.68571423806349,0.0290385406798352,1.62896386505082,1.74260663194575
"sigma_log_d",5.33230722899954,1.54535417092272,3.08535649096519,9.10102147573532
