"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.44643476410068,0.138112089584791,0.178553935012554,0.720185048549773
"gamma_A[2]",0.241335675694608,0.119527072628571,0.01284204322749,0.477483449143757
"gamma_A[3]",0.452217974944968,0.127154305107045,0.203476878944437,0.70383077397344
"gamma_A[4]",0.190304031592461,0.105048340236514,-0.013527849708177,0.399165827001679
"gamma_A[5]",0.215936551077259,0.0862058414636584,0.0245989327914671,0.369868839122512
"gamma_alpha",2.70492921025243,0.0544078329134811,2.59841258453293,2.81244588464137
"gamma_beta",-0.0283893756772842,0.00779362071143005,-0.0451363425344038,-0.0134009553898657
"gamma_log_d",-0.230139297113266,0.414352108391368,-1.05477761010323,0.569048601284683
"phi",0.00377307464311195,0.0281588995374521,-0.0514425555143003,0.0588717263173633
"rmse",1.56322690158613,0.0216222533332253,1.51791070936819,1.60265078856936
"sigma_A[1]",1.12964704572464,0.135332233512931,0.867527194970492,1.39988371067889
"sigma_A[2]",0.271322731186894,0.192898840198115,0.0184225877134367,0.698537577343638
"sigma_A[3]",0.958994577378331,0.182126160706863,0.569228865253161,1.29045268556239
"sigma_A[4]",0.473373891060049,0.220187919041272,0.0700398109256198,0.882290498971868
"sigma_A[5]",0.286536948597266,0.296326046418844,0.000346269697864274,0.883756288615534
"sigma_alpha",0.318871353952813,0.107969268328948,0.0626501139350261,0.501950022081246
"sigma_beta",0.00729613898122423,0.0058135435261837,0.000139022376746906,0.0213285475954478
"sigma_epsilon",1.56372591086025,0.0280787327679991,1.50760419751992,1.61757275170051
"sigma_log_d",4.52155419510179,1.29138089692815,2.72041260258869,7.92931827253914
