"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0756661939087798,0.071904618797423,-0.209995145380967,0.0707785149437202
"gamma_A[2]",0.10233030608637,0.0621888549804284,-0.0231849875378926,0.225084125053045
"gamma_A[3]",-0.068623904129278,0.0565400014758501,-0.181439808730666,0.0409161225104782
"gamma_A[4]",0.00664376764559854,0.0507594487408348,-0.0935741279400026,0.105365491230565
"gamma_A[5]",-0.0266898244068485,0.0478903389643264,-0.120799480135714,0.0665119909077091
"gamma_alpha",1.97164030135935,0.037729568880024,1.8950324267472,2.043250954431
"gamma_beta",-0.00217905798879568,0.00454903844369008,-0.0102728887545241,0.00702844581769542
"gamma_log_d",0.276663733394742,0.477819567610087,-0.653475948448911,1.2376412923166
"phi",-0.0250535757609254,0.0356950463296758,-0.0951483472800276,0.045044528884458
"rmse",0.622992624515108,0.00793493840039016,0.606770989084336,0.637868081560272
"sigma_A[1]",0.165826547462142,0.10405992155058,0.0123669037823924,0.384675493587658
"sigma_A[2]",0.167625184940629,0.107988792307915,0.00636661238862372,0.395673428345891
"sigma_A[3]",0.169733798889926,0.106919687170269,0.00683030939120372,0.385605728392838
"sigma_A[4]",0.203724500937843,0.0970329083586025,0.0249290154412594,0.384436786972911
"sigma_A[5]",0.0789422648808499,0.0561620847044385,0.00535367174960148,0.209394041329995
"sigma_alpha",0.30325403918755,0.0236242834689562,0.252668622875677,0.345948082391599
"sigma_beta",0.00447064664744633,0.00328603979242821,0.000278335935428688,0.0120111482042513
"sigma_epsilon",0.623260684623411,0.0112190178707587,0.601157559404052,0.645174706379521
"sigma_log_d",1.91561982243539,2.02654155515061,0.0681289626226212,7.73154787417103
