"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.083826924955626,0.162825204141094,-0.411259862951211,0.229952819095349
"gamma_A[2]",0.414442465792945,0.211239710770129,0.00360419403494792,0.836839499129411
"gamma_A[3]",0.0783997569722213,0.16537087634665,-0.247490098751686,0.407545294599868
"gamma_A[4]",0.118384823911287,0.134684988885881,-0.145254441948857,0.38401738916127
"gamma_A[5]",0.389290753454188,0.137447270600503,0.121947797619421,0.655795346803413
"gamma_alpha",6.74110854409823,0.0613969472391772,6.62105030803546,6.86231222228586
"gamma_beta",-0.00761773523465424,0.00964298402862424,-0.0264866732074324,0.0108266641116411
"gamma_log_d",0.209198914426792,0.455422653648126,-0.699741810520633,1.08914303411551
"phi",-0.192588707467327,0.0869371949001661,-0.365142765873798,-0.0243222640305367
"rmse",0.711245261094427,0.0233214035471002,0.665102862698182,0.756444149737032
"sigma_A[1]",0.260814017685259,0.16408217354079,0.0167741196689213,0.611737366889615
"sigma_A[2]",0.736919570426198,0.244698423532344,0.270076555882776,1.25530916888958
"sigma_A[3]",0.215059030513666,0.156979120364497,0.00971947162566706,0.581457922013217
"sigma_A[4]",0.244309347438277,0.169051507267368,0.0082665097739741,0.609592233774366
"sigma_A[5]",0.391905640165519,0.183535360559332,0.048776536701667,0.741229405077096
"sigma_alpha",0.115948646859012,0.0745349779169042,0.0053393319755308,0.270317073561877
"sigma_beta",0.00849466621607585,0.00611890426438988,0.000402819194802261,0.0227351721853739
"sigma_epsilon",0.713050645618485,0.0328784170875572,0.650522884953501,0.7792983112893
"sigma_log_d",2.87743999807549,2.01072672574231,0.608478393413479,8.63921914917345
