"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.457369667663787,0.142427400103589,0.180712211207776,0.738255118224923
"gamma_A[2]",0.34686517700497,0.126755194765171,0.108916443578053,0.596701422724673
"gamma_A[3]",0.514771559003452,0.136342177691895,0.249851897193713,0.783904933287141
"gamma_A[4]",0.12683828302282,0.104363528684108,-0.0737731257094216,0.33819867767654
"gamma_A[5]",0.3662696060361,0.106443070484762,0.158237419552862,0.57529112121317
"gamma_alpha",2.52995670150483,0.0575797054269445,2.41951449741989,2.64657217227655
"gamma_beta",-0.0441528295433856,0.0083703772180636,-0.0634566156604335,-0.0275681999668908
"gamma_log_d",-0.123782910440986,0.399337693056777,-0.94018887580355,0.621007571550577
"phi",-0.0107930179877179,0.0271819925198219,-0.0640891319119509,0.0425951387012184
"rmse",1.64412031359043,0.022015620036768,1.60069631535631,1.68697397357813
"sigma_A[1]",1.21143224447265,0.142018970882209,0.939389270835989,1.49503200052011
"sigma_A[2]",0.305947011936589,0.20639926688372,0.0160778338861664,0.759467298879165
"sigma_A[3]",1.08474059532429,0.173656431407883,0.722001435061802,1.41154023013581
"sigma_A[4]",0.273077340128076,0.174171150904805,0.0307721966640015,0.656246480844967
"sigma_A[5]",0.860366672138735,0.198761945157299,0.403380388768238,1.19376142829001
"sigma_alpha",0.288502589654399,0.11699343457987,0.0406576121848779,0.483860512045648
"sigma_beta",0.00665901833540372,0.00506690810644483,0.000106588992248001,0.0185683805469931
"sigma_epsilon",1.64471035948889,0.0289847730256222,1.58831800682327,1.70189709666047
"sigma_log_d",4.14776780068114,1.21407375275666,2.52928383197933,7.46905213592273
