"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.465083260898244,0.138679261024642,0.19462640702084,0.738466130659588
"gamma_A[2]",0.254266343482622,0.122475428808437,0.0215204123867866,0.500226063235708
"gamma_A[3]",0.429916995792573,0.126489125434151,0.181780162758016,0.679562651497406
"gamma_A[4]",0.159059265968346,0.104065262404994,-0.0448545460978422,0.366419830480486
"gamma_A[5]",0.250013810068659,0.0952719487574618,0.0616212727903962,0.438468442087046
"gamma_alpha",2.67229454204113,0.0536095704360365,2.56691642455337,2.77739452897264
"gamma_beta",-0.0293946029680246,0.00748875603170442,-0.0445794266118847,-0.0148386745242413
"gamma_log_d",-0.129466123272241,0.39581127105741,-0.934611960206125,0.620147602149846
"phi",-0.0150497795996767,0.028392732209895,-0.0710656750295545,0.0403382681961971
"rmse",1.53328341975463,0.0219473696640772,1.48862497188446,1.57399596645039
"sigma_A[1]",1.19283823291784,0.139246745252714,0.926469515515545,1.47139954978746
"sigma_A[2]",0.310962154828635,0.211983735670418,0.0102376260392029,0.750529929067867
"sigma_A[3]",0.945607263273459,0.192544428503847,0.5270114791808,1.28858640744543
"sigma_A[4]",0.386024024911377,0.207900160606229,0.0220142608588724,0.786183594260197
"sigma_A[5]",0.553729294345108,0.249081505257017,0.0336672482222069,0.958056183114873
"sigma_alpha",0.285287522453097,0.104621897930978,0.0525261873036244,0.463891842981236
"sigma_beta",0.00582474500353326,0.00467176753547989,0.000239464919402871,0.0168454257604222
"sigma_epsilon",1.53380751195083,0.0280765802572515,1.47830925287734,1.58810454089815
"sigma_log_d",3.74467219991567,1.01562856938542,2.30839319127365,6.28381908916222
