"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.084481182960072,0.0661708070426944,-0.212922976904952,0.0456835582846863
"gamma_A[2]",0.0803294918297937,0.0615617334975554,-0.0437509161193373,0.198334533561054
"gamma_A[3]",-0.0676530682447532,0.0571062954945787,-0.1737091448815,0.0477844486138833
"gamma_A[4]",0.0205943147372474,0.0493138435698255,-0.0751474884058771,0.118410638484118
"gamma_A[5]",-0.0073179275303815,0.0469721342166319,-0.0964150117721014,0.085524420384001
"gamma_alpha",1.96489242270905,0.036302770939501,1.89359023656416,2.03600971747289
"gamma_beta",-0.00291929166652447,0.0045701316716825,-0.0128586057728805,0.00560037976841567
"gamma_log_d",0.302935931099117,0.455414152484017,-0.588911514684986,1.17066302584577
"phi",-0.00734191061792667,0.034881554582319,-0.0756973792434381,0.0608680003120536
"rmse",0.630500185543297,0.00723515623561102,0.615888177191128,0.644325814511129
"sigma_A[1]",0.13544343413505,0.0894542307003224,0.00839308703573172,0.336636198785605
"sigma_A[2]",0.133807384387034,0.0879970284580908,0.00981946005865987,0.327739707236717
"sigma_A[3]",0.151207046978621,0.0938060846651062,0.0100874743837951,0.346958320574402
"sigma_A[4]",0.158689995524795,0.0893394326685983,0.0145344635362646,0.337070829515637
"sigma_A[5]",0.0965198370081967,0.0664508943479695,0.00610100593284362,0.243724853534531
"sigma_alpha",0.293633392536288,0.0223091309818952,0.247295632930943,0.335188571487517
"sigma_beta",0.00501752639133454,0.00347565720140702,0.000189352039454873,0.0128536217328093
"sigma_epsilon",0.630751006696727,0.0107683987236847,0.609682432895781,0.651934370680049
"sigma_log_d",1.48394180676599,1.67770754496264,0.0812530928558729,6.9483340015341
