"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0283544901314934,0.162375829129465,-0.345034207545957,0.292477975209799
"gamma_A[2]",0.426488303602585,0.228208890309652,-0.0198852216066644,0.881557212917633
"gamma_A[3]",0.103433365570585,0.174194867514471,-0.236508550225141,0.442947794341557
"gamma_A[4]",0.109349100025451,0.138554831585838,-0.162687650024788,0.380994181730638
"gamma_A[5]",0.352565829696157,0.144132160347433,0.0699563836281552,0.634353696292078
"gamma_alpha",6.72130907851369,0.0597933326652707,6.60380096182775,6.83818156387912
"gamma_beta",-0.0110215355266858,0.00980346599701301,-0.0296021462152201,0.00872829059445385
"gamma_log_d",0.259412429408549,0.447946266187634,-0.644425501560206,1.11031087035575
"phi",-0.163575756453379,0.0921901393198881,-0.345977469082049,0.0150412876688675
"rmse",0.669869472728327,0.0265756127875951,0.618269730211849,0.722352619810059
"sigma_A[1]",0.305109755478958,0.181066617987732,0.0204047692095881,0.683577077136306
"sigma_A[2]",0.847243080852756,0.251906133040068,0.39126150006648,1.39249011447583
"sigma_A[3]",0.288309402541942,0.202144308033543,0.00960512138525422,0.740660900260659
"sigma_A[4]",0.262591285356575,0.171028735953603,0.0163158304563611,0.632170605947449
"sigma_A[5]",0.476544744952482,0.187078449603215,0.0704129862744623,0.81464373379977
"sigma_alpha",0.121425840381454,0.0753485831000728,0.00674045606622102,0.275435770242843
"sigma_beta",0.00768408966371124,0.00569514796881737,0.000368206731089513,0.0212465165192785
"sigma_epsilon",0.671786896038743,0.034955599629916,0.605503576544306,0.742415854362925
"sigma_log_d",1.97876755512541,1.48952302409703,0.245977906976607,6.57939998215374
