"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0699153253627576,0.154701550809315,-0.356924990577769,0.238257325114725
"gamma_A[2]",-0.00931222238306744,0.201743180090048,-0.405186838322422,0.387214656278526
"gamma_A[3]",0.10925732088914,0.159174830483924,-0.205032190282495,0.420186240532276
"gamma_A[4]",0.139209604208574,0.135464413036412,-0.147892290057,0.40209511372822
"gamma_A[5]",0.110844141894286,0.128654102304595,-0.124540210340781,0.41469072660579
"gamma_alpha",4.58504832950973,0.0603724519661769,4.46706717188333,4.70340773783392
"gamma_beta",-0.0189127200890493,0.00987355079444042,-0.0390221328775104,-0.000495045285805275
"gamma_log_d",-0.568389404939093,0.382060364268553,-1.34975519453825,0.150024331266232
"phi",-0.017084240227022,0.0314810225149849,-0.0788032145643587,0.0446572812892054
"rmse",1.79439486622012,0.0211836339561387,1.75276202058593,1.83603418738292
"sigma_A[1]",0.485379221023946,0.289087901166186,0.0075915256864505,1.05607705413755
"sigma_A[2]",1.9483733442837,0.211440491421325,1.54588063288092,2.37642591601129
"sigma_A[3]",1.17412180081747,0.242178857298158,0.645923266320873,1.60741243730748
"sigma_A[4]",0.393828361757327,0.241388916574339,0.0217545906727622,0.873227009645
"sigma_A[5]",0.276185789139071,0.191324017750432,0.00791280888536378,0.679100547900789
"sigma_alpha",1.00075737785465,0.0655323574577887,0.867330494898866,1.12560227424771
"sigma_beta",0.0229350807912191,0.0146047452901173,0.0021336309171331,0.0534814585915062
"sigma_epsilon",1.79500071981721,0.0297009241698718,1.73745990989891,1.8536558846367
"sigma_log_d",2.25274420482768,0.482973271441382,1.48221386977045,3.38491023403391
