"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0778687175977252,0.145348484227364,-0.223706973645836,0.360254507340273
"gamma_A[2]",0.0274025499101532,0.140876780672036,-0.249467386109505,0.308189519880737
"gamma_A[3]",0.0872526659634141,0.14018130707043,-0.186473794526305,0.363715024093408
"gamma_A[4]",0.0524448845132145,0.111732334754088,-0.164831435911247,0.271231371573063
"gamma_A[5]",0.0628401068295459,0.10397302662688,-0.148117323261655,0.260489952869319
"gamma_alpha",4.60442091329147,0.0595650545827077,4.48813616594457,4.72152388947557
"gamma_beta",-0.0157175478448507,0.00954936875729075,-0.0356893777658538,0.00252373657006498
"gamma_log_d",0.0885716294314316,0.48113163242443,-0.850081581152745,1.03585011417229
"phi",0.0105381642233306,0.0319150707071778,-0.0519758236930875,0.07303459090648
"rmse",1.67890667040103,0.0182441082567857,1.64258275964495,1.7141253300266
"sigma_A[1]",0.416517912528998,0.253351161122371,0.0195254105901729,0.91049494774838
"sigma_A[2]",0.545257510689406,0.273590074554104,0.0772545824821822,1.07645134644922
"sigma_A[3]",1.04214901779392,0.173498933006188,0.679172951290454,1.36206622500608
"sigma_A[4]",0.332616505181927,0.202365905086973,0.022364729844135,0.742726309413119
"sigma_A[5]",0.191664974296713,0.122258802044199,0.0174873447900491,0.462702835018983
"sigma_alpha",0.8195290676353,0.0623146954021131,0.692220800012087,0.936761745928893
"sigma_beta",0.0128503059849536,0.0100187420900061,0.000647252264161499,0.0366616098935284
"sigma_epsilon",1.6794301037433,0.0265793245280746,1.62735435467794,1.73168540836699
"sigma_log_d",5.11714643620624,2.04215555398494,2.08855672688175,9.52871909916945
