"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.123058554211146,0.137436096142129,-0.395926839498374,0.143346260202396
"gamma_A[2]",-0.302111674507426,0.175741175596932,-0.64937215131206,0.0408862697454354
"gamma_A[3]",-0.0309130147450382,0.119259921457525,-0.2759177955604,0.193201619578146
"gamma_A[4]",-0.148844980163615,0.104718459320733,-0.358511470598643,0.0576158731081868
"gamma_A[5]",-0.0853655402118767,0.0996871030791664,-0.291733830636535,0.100315334140321
"gamma_alpha",3.08810384844135,0.0508152244001723,2.98965202299764,3.19022979140007
"gamma_beta",-0.00409157528650977,0.00678743634215361,-0.0174629852548166,0.00971942814939127
"gamma_log_d",-0.784036988146278,0.384063723990081,-1.56345295639554,-0.0575475960065363
"phi",-0.153782502864678,0.0365940675794397,-0.22648980744315,-0.0830887724697495
"rmse",1.18838067914262,0.0121291381553789,1.16314323125243,1.21066782103905
"sigma_A[1]",0.197611448076192,0.142956727939822,0.00786451855415401,0.52265604222491
"sigma_A[2]",1.44962979660537,0.156907383620305,1.15111332864623,1.76841396237194
"sigma_A[3]",0.254828382345834,0.179924604068653,0.00608913281957558,0.664090999737496
"sigma_A[4]",0.340561012209476,0.171288239524341,0.0388052870505153,0.667566534879484
"sigma_A[5]",0.107809873615468,0.0761088762451064,0.0098898715819474,0.291913649980425
"sigma_alpha",0.127003618340862,0.0771863103435959,0.00693522777622417,0.280838442110122
"sigma_beta",0.00993168803855388,0.00698692465004958,0.000384818559995668,0.0250826852664845
"sigma_epsilon",1.18909245148205,0.0222281475525485,1.14572898362595,1.23281609078038
"sigma_log_d",2.35002138966843,0.405824265001692,1.67176995097012,3.25946143672169
