"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.361186161243489,0.130369525812558,0.108347350803973,0.614008206590111
"gamma_A[2]",-0.0588164848372213,0.132794702339801,-0.321607200354589,0.204321386177514
"gamma_A[3]",0.210994911414342,0.11975104813382,-0.0284929911585885,0.438831539154037
"gamma_A[4]",7.55962810595532e-05,0.10451718694886,-0.205442650048036,0.200286843257559
"gamma_A[5]",0.0565499730678421,0.0967506598223672,-0.137444387485463,0.241558162738114
"gamma_alpha",6.75248293192785,0.0570217307324773,6.64134549376194,6.86733987872474
"gamma_beta",0.00316581675989812,0.00912845199201244,-0.0138900257788175,0.0226563843377077
"gamma_log_d",0.358382956828619,0.480899362902538,-0.589897830719181,1.29659083219178
"phi",-0.0673113860235746,0.0523005514999616,-0.170810341687546,0.0343070032111457
"rmse",0.863120409256788,0.0157501360875373,0.831058363721057,0.8929853150334
"sigma_A[1]",0.280028674400679,0.159709576877458,0.0143451145706797,0.588057616155217
"sigma_A[2]",0.27626927686445,0.150489247900608,0.0311005670143746,0.586288206882273
"sigma_A[3]",0.309836963492728,0.161955808243182,0.0217014020052682,0.609757722100299
"sigma_A[4]",0.203568780700344,0.13007265636293,0.0128700846759114,0.478578253190892
"sigma_A[5]",0.256616421667885,0.14463211188654,0.0263182821003101,0.551172420506187
"sigma_alpha",0.184946505715604,0.0908248638297289,0.0172990792740557,0.354857366127226
"sigma_beta",0.00859825437822368,0.00669009821570942,0.000198922532463171,0.0243212872988421
"sigma_epsilon",0.864115957307368,0.0238828265899601,0.81764166955826,0.911472434700931
"sigma_log_d",5.8614224436167,2.36434869268759,1.50513496904025,9.77077035713919
