"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0651239097915961,0.164055232591095,-0.383247728265176,0.259553679767161
"gamma_A[2]",-0.0087680565951133,0.196455041881104,-0.394869813194996,0.37629516702407
"gamma_A[3]",0.149737403643217,0.15908850951723,-0.161118645303368,0.462335637110863
"gamma_A[4]",0.140163892315884,0.126552872398542,-0.10830900269332,0.392899766011941
"gamma_A[5]",0.0801940743828575,0.11221341703083,-0.140073846301577,0.303907741005788
"gamma_alpha",4.55060500005867,0.0593842114584002,4.43488261229975,4.667090676819
"gamma_beta",-0.0205068100129797,0.0090288839750567,-0.0384945248474634,-0.00352703548660242
"gamma_log_d",-0.621995975610189,0.37142053897984,-1.38431319830616,0.0744424207728131
"phi",-0.00554384072592596,0.0310570158166918,-0.0662219701029591,0.0556027345779855
"rmse",1.75845262220937,0.0210991402376392,1.7168093366784,1.7995290220745
"sigma_A[1]",0.562112889430403,0.29125233301354,0.0864160270646246,1.15435983602212
"sigma_A[2]",1.89884705875505,0.201373527930832,1.51570184441997,2.30356432613274
"sigma_A[3]",1.26821595593907,0.217030154149618,0.81896800443805,1.67538620928856
"sigma_A[4]",0.398097542756318,0.22695203699771,0.0264885098888476,0.842974917308358
"sigma_A[5]",0.286553829574957,0.203919543442528,0.010582065165134,0.72342585833713
"sigma_alpha",0.961808325914494,0.0633877714925822,0.83372516986622,1.08263844502191
"sigma_beta",0.018195050313232,0.0120334772131721,0.00131675033165796,0.0446028064822571
"sigma_epsilon",1.75902104900825,0.0292498514013391,1.70214749587265,1.81696290209744
"sigma_log_d",2.19058030845575,0.422609786727287,1.48118729625074,3.13243008371336
