"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0916427144785641,0.134624803736644,-0.179457220401882,0.341384817839654
"gamma_A[2]",0.00192246369470413,0.133545293695592,-0.251376674089765,0.281267103481802
"gamma_A[3]",0.117033605615207,0.138593307508805,-0.154587039889282,0.389119584783845
"gamma_A[4]",0.0583843048578339,0.11385565461798,-0.160515206748426,0.29353996301875
"gamma_A[5]",0.0620138861946964,0.0940796176050612,-0.129930061317005,0.246565872084919
"gamma_alpha",4.56605237432834,0.0580528422063753,4.45295925344984,4.68019986365103
"gamma_beta",-0.0179277777963848,0.00894937220320302,-0.034649458494997,1.89327260144449e-05
"gamma_log_d",0.0131606968096198,0.474976020358256,-0.910889819939794,0.953136336996209
"phi",0.00943148495346633,0.0316242804703134,-0.0523870052940239,0.0716506564838082
"rmse",1.63700304314103,0.0170897749471389,1.60324131866286,1.67023823512518
"sigma_A[1]",0.450335962436598,0.242747008269831,0.0294259670950682,0.931042901480012
"sigma_A[2]",0.364944225106122,0.249096995869727,0.0120361193172557,0.88694911360187
"sigma_A[3]",1.06909418265772,0.15886094151691,0.747395951614011,1.37016230906628
"sigma_A[4]",0.311851497328522,0.205886668536719,0.0126646080156388,0.732383741818315
"sigma_A[5]",0.196264189357559,0.132736968724019,0.00983720584245644,0.481585996092285
"sigma_alpha",0.790549253066885,0.058163025009959,0.672709218993805,0.901031906066282
"sigma_beta",0.0127987418504971,0.00849458748697612,0.000699893960831305,0.0326516210498648
"sigma_epsilon",1.63754665494291,0.0254299145560248,1.58816400550019,1.68760920031908
"sigma_log_d",4.78480348838588,2.0069235088809,2.07734926261595,9.33613639013411
