"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0623075451224532,0.148265737604533,-0.363086563622567,0.247347253630209
"gamma_A[2]",-0.281551242784248,0.181213060784704,-0.640990579444092,0.0724071643103399
"gamma_A[3]",-0.0164846426010635,0.126391036604919,-0.287921752852243,0.227765084528988
"gamma_A[4]",-0.1399942207729,0.104581806721059,-0.341587766424905,0.0683757729087183
"gamma_A[5]",-0.127096901190887,0.111757161717159,-0.345132254112021,0.118070035570062
"gamma_alpha",3.03930530462104,0.0529641649695108,2.93258278967107,3.14236913394581
"gamma_beta",0.00342658876165351,0.00671464431399002,-0.00992372573156299,0.0161624886642908
"gamma_log_d",-0.927496188709232,0.382603796658531,-1.69464302811846,-0.196654653111711
"phi",-0.124913476973383,0.0372124439614978,-0.198574071892224,-0.0526443871641268
"rmse",1.29317772946767,0.0119875935119378,1.26746724792853,1.31419729014493
"sigma_A[1]",0.168936331146718,0.131212613993998,0.00507003987388949,0.492498452449697
"sigma_A[2]",1.43473793127419,0.17036797668564,1.11315710130635,1.77394824934046
"sigma_A[3]",0.227755758368585,0.1709446957638,0.00364028218272213,0.625921093523245
"sigma_A[4]",0.245220010387463,0.147172209358492,0.0211716532045379,0.561092703131446
"sigma_A[5]",0.0989782400792151,0.0731469280608109,0.00592036904135414,0.277549340929634
"sigma_alpha",0.149219872769715,0.0842968102545142,0.00682213890420604,0.311790713935031
"sigma_beta",0.0062844605969259,0.00431011615602899,0.000539316644957212,0.0167076160259639
"sigma_epsilon",1.29401400330102,0.023539570935569,1.24807402095023,1.3404483300524
"sigma_log_d",2.27052156386797,0.381334321881165,1.6299815824278,3.12742292390195
