"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.249989018941635,0.126828735539369,0.00086349225917102,0.494072481455046
"gamma_A[2]",-0.0602208624776029,0.138197659183863,-0.327642724504081,0.205984806358614
"gamma_A[3]",0.196984445611778,0.122225867901407,-0.0449515590026773,0.435197298948495
"gamma_A[4]",-0.039984293090902,0.10347415842352,-0.238477066486152,0.162123907483594
"gamma_A[5]",0.063688153584073,0.103574301321433,-0.141789623591083,0.26263651094225
"gamma_alpha",6.74489763303937,0.0561908744478969,6.6339266864752,6.8558681187136
"gamma_beta",0.000881168781552606,0.00906385723389383,-0.0161936831155086,0.0175201714212033
"gamma_log_d",0.311767173085739,0.47688109004462,-0.634568676371552,1.23446930466206
"phi",-0.0829777246438873,0.0567207184211407,-0.194991488809064,0.0271693903612302
"rmse",0.836766406175974,0.0174090365705711,0.801846414211098,0.869786647795911
"sigma_A[1]",0.22703678311408,0.135914857883949,0.0173128782467537,0.51105043065435
"sigma_A[2]",0.211410089539004,0.14929573442248,0.00674101877964446,0.539048309804408
"sigma_A[3]",0.418880384664568,0.155461208717185,0.0924058852432494,0.702481895134153
"sigma_A[4]",0.189465462935819,0.124340117170206,0.0118362324388097,0.468059495733722
"sigma_A[5]",0.333726126672321,0.156693051504054,0.0448279549279472,0.627735390542766
"sigma_alpha",0.220933882196754,0.0791812106243548,0.0448479063774339,0.35894098640573
"sigma_beta",0.00768967449156133,0.00588578211037486,0.000367718370036719,0.0219136487651028
"sigma_epsilon",0.837732547089236,0.0248645779255233,0.789553091916725,0.886852544537373
"sigma_log_d",5.04086198775265,2.43239464578792,1.24450780587626,9.65489529441825
