"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0505895026199358,0.193256355539221,-0.437911476758152,0.31595354184009
"gamma_A[2]",-0.00306607525884332,0.203255026772908,-0.403083964137634,0.403737207006341
"gamma_A[3]",0.371532440941516,0.187689891502287,-0.0132501149886854,0.735965863426587
"gamma_A[4]",-0.0279048628882543,0.181436403499197,-0.384083671857949,0.330029651071745
"gamma_A[5]",0.150623638347156,0.163928599278802,-0.178828272566227,0.471741772117626
"gamma_alpha",4.41389619518754,0.0642215747485913,4.28848226650026,4.54015489629727
"gamma_beta",-0.0136358064748128,0.0145201146932171,-0.0409164350697979,0.0143807285745865
"gamma_log_d",0.291354765798389,0.487170541186838,-0.66721507188345,1.24259602883518
"phi",-0.0364761745182629,0.0355016702820391,-0.106231275518727,0.033147130233146
"rmse",2.30737461595272,0.0269004253171879,2.25455299449116,2.36017973476515
"sigma_A[1]",0.659254026852227,0.354354420848168,0.031596071721431,1.33284579334443
"sigma_A[2]",0.369070328068033,0.24366169224512,0.0181572008232385,0.910597448415032
"sigma_A[3]",0.496101419113232,0.307848085932026,0.0175453288509661,1.08815850092296
"sigma_A[4]",1.49932459752963,0.185092705684666,1.12838359773777,1.85949168376726
"sigma_A[5]",0.48550361677561,0.292379334178379,0.0364110265346088,1.0844187861333
"sigma_alpha",0.998899362777454,0.10173286352245,0.782455493019203,1.18207004171841
"sigma_beta",0.0251781059023622,0.0174478104511181,0.000344367766906674,0.0626983710683057
"sigma_epsilon",2.30831175952647,0.0395078020691644,2.23136673207107,2.38654248716987
"sigma_log_d",5.69078331624064,2.25197300522646,2.06590223784647,9.7430424420552
