"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.121176301288291,0.162120782654265,-0.186355392072108,0.446583837055607
"gamma_A[2]",-0.0571863168092582,0.16985275299662,-0.406923055457261,0.269498218878622
"gamma_A[3]",0.441400424064142,0.162503262207102,0.129469708211218,0.774249805112456
"gamma_A[4]",0.256021491259674,0.130396549983067,0.00578439442799142,0.511036075279005
"gamma_A[5]",0.211584251246578,0.127800908603313,-0.0359919951115677,0.459452879184628
"gamma_alpha",4.46911818877373,0.062059885654926,4.34803834370516,4.59112556646168
"gamma_beta",-0.0218860740533118,0.0124656877786886,-0.0480702652166217,0.00104119789710064
"gamma_log_d",0.323063113601834,0.49042467734078,-0.640014487969152,1.27589512267294
"phi",-0.0041939630774687,0.0311421314503781,-0.0652159361384354,0.0569032939788553
"rmse",1.9578120165499,0.0190958931905903,1.91980045367043,1.99465344705029
"sigma_A[1]",0.365662595215388,0.231801156312397,0.0296847352821284,0.867103547681335
"sigma_A[2]",0.366494919922786,0.262934019488631,0.0118943781761846,0.961727271423279
"sigma_A[3]",0.500995073046888,0.295543008761733,0.0193127597230039,1.07513271871703
"sigma_A[4]",0.235127733507555,0.168005883802791,0.00803171125420541,0.619420858420691
"sigma_A[5]",0.299885488431688,0.189951090892764,0.02650572110973,0.71386743738098
"sigma_alpha",1.00798387660384,0.0667449098040183,0.869935469830511,1.13374581283287
"sigma_beta",0.0173585480636238,0.0114978619215502,0.000894218547373084,0.0424150341336723
"sigma_epsilon",1.95847659721907,0.0299041335057865,1.90017640254627,2.01746957448772
"sigma_log_d",4.26795860533129,2.76715405036948,0.420005968262475,9.6437852787296
