"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.105922193374883,0.13106976999457,-0.156775024150141,0.36078946938798
"gamma_A[2]",-0.386270271412104,0.337220868241833,-1.05384725147509,0.274931721227978
"gamma_A[3]",0.113708149443038,0.118828718025017,-0.123534641446958,0.345697427714876
"gamma_A[4]",0.124757656865717,0.092096430614469,-0.0512598671098173,0.302886745080323
"gamma_A[5]",-0.0556347313043531,0.146841935195543,-0.343864861548013,0.232204301981576
"gamma_alpha",2.16692221255517,0.0486232326947355,2.0725770073231,2.26347060587588
"gamma_beta",0.00423241234205251,0.00592395288470289,-0.00793935961504673,0.0156678306931614
"gamma_log_d",-0.764536259673411,0.277430777731827,-1.35531464884109,-0.269777004152064
"phi",-0.0596763719574182,0.0487101333775954,-0.155364112115335,0.0356158592366044
"rmse",0.910141710017306,0.0182294934720492,0.874165189156964,0.945745044359817
"sigma_A[1]",0.469940991732493,0.214245758750801,0.0586083063309788,0.877561206617356
"sigma_A[2]",2.94490931577114,0.285541372298915,2.43936245943514,3.55681071525694
"sigma_A[3]",0.411177282130069,0.213001319140825,0.0401210288753328,0.821922581021328
"sigma_A[4]",0.135856034474417,0.103015227141879,0.00671987417912213,0.371761901899142
"sigma_A[5]",1.56538539886047,0.115920693387033,1.34815799920986,1.80330566929234
"sigma_alpha",0.275404112228631,0.0629752017282192,0.119840383725618,0.379377435975084
"sigma_beta",0.00612923004831115,0.00445600216206545,0.000293077485499004,0.0168595254994937
"sigma_epsilon",0.910827037962308,0.0241771984462468,0.863972915949014,0.958773398167991
"sigma_log_d",1.02616843584618,0.247937819303542,0.618136869545853,1.59116582134468
