"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0101715406484306,0.0946132361818192,-0.190431430748838,0.176724914279522
"gamma_A[2]",0.101009086835791,0.106329969928011,-0.100786936749908,0.309270069088609
"gamma_A[3]",0.204383661983492,0.0915103059809197,0.0269987901019335,0.383258152027983
"gamma_A[4]",0.0186581276607936,0.0782912936763515,-0.137283681736094,0.171748094791814
"gamma_A[5]",0.0806345547368668,0.0758797944378708,-0.073150611163177,0.226941421457546
"gamma_alpha",7.12521583419559,0.0490679850300758,7.02831582413235,7.22226879485865
"gamma_beta",-0.00666783714480972,0.00763197421431825,-0.021955796327121,0.00808484301610794
"gamma_log_d",0.247409441082002,0.48022157947999,-0.695538483464696,1.19497009025781
"phi",-0.0529989479846748,0.0492641164336874,-0.149738256801293,0.0432811464753582
"rmse",0.699513119565937,0.0125346243427641,0.673823729303373,0.722985771889818
"sigma_A[1]",0.221461645372376,0.129273341970946,0.00729432928613029,0.480126434093516
"sigma_A[2]",0.140462131092692,0.0923059070063856,0.00826586972577835,0.345883062561945
"sigma_A[3]",0.362822576681941,0.137554828187363,0.0354709194162473,0.604576177306097
"sigma_A[4]",0.12808302641335,0.0941961759695824,0.0048932580370303,0.342581072180799
"sigma_A[5]",0.20318010383003,0.117306616389683,0.0122550278953212,0.438228599727582
"sigma_alpha",0.0898205838830179,0.0566505188628417,0.00451926342645618,0.204075970226274
"sigma_beta",0.00882793895555219,0.00580679773836234,0.000383896761283898,0.0214663706018826
"sigma_epsilon",0.700117327493226,0.0183377249423956,0.66428652252086,0.736182244740027
"sigma_log_d",4.94831369031428,2.48621113593981,1.22680578212846,9.69034857950372
