"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0367149754664376,0.186752647266262,-0.323272837519005,0.402582818800435
"gamma_A[2]",-0.0149287521586485,0.212077962762769,-0.435796895952391,0.396673988550917
"gamma_A[3]",0.334243398866187,0.196930001769698,-0.056609475035767,0.726071186205955
"gamma_A[4]",0.0114031788992234,0.179395731841693,-0.342110372869339,0.363220436292446
"gamma_A[5]",0.0292237795133865,0.155208154765106,-0.256449211187312,0.339042251477535
"gamma_alpha",4.43620028022629,0.0647875234691656,4.30965806624565,4.56408265233579
"gamma_beta",-0.0138249432346241,0.0146929153601397,-0.042307290866941,0.0141008336483038
"gamma_log_d",0.25623718445979,0.483815083768232,-0.696844293760309,1.20028805916346
"phi",-0.0338338065387589,0.0354368831058057,-0.103104210605552,0.0357301444729198
"rmse",2.28290781518562,0.0274431883413529,2.22918883375323,2.3369085594652
"sigma_A[1]",0.618051170229129,0.32479418076913,0.0380269268484983,1.25120724030848
"sigma_A[2]",0.398683389989765,0.260925930251917,0.0275733399214407,0.970560463105058
"sigma_A[3]",0.46357715124427,0.284848793446582,0.0283546805378183,1.02303658024608
"sigma_A[4]",1.51119540330561,0.183102999716517,1.14020708974364,1.8619125319113
"sigma_A[5]",0.517773487211331,0.328995213125873,0.00869681678272632,1.16224838154327
"sigma_alpha",1.03386920444452,0.0940467038653242,0.836392179687174,1.20437854352597
"sigma_beta",0.0241026842149301,0.0146621598606497,0.00257934459307732,0.0573562379103483
"sigma_epsilon",2.28389259015423,0.0397028032782559,2.20711713950202,2.36259559967283
"sigma_log_d",5.79312488979441,2.25931945757451,2.11608167079176,9.75184368757167
