"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.219075759290796,0.169048153948004,-0.109471211705335,0.560200971572083
"gamma_A[2]",-0.00241775037659953,0.168974094711179,-0.342466859417348,0.3223052418424
"gamma_A[3]",0.450264699822196,0.157373608193929,0.153577164124009,0.7612581450038
"gamma_A[4]",0.285418223840703,0.144629511405328,-0.00573489346369142,0.560204668658374
"gamma_A[5]",0.193042750439096,0.125559399913341,-0.0520190470685464,0.441955045672109
"gamma_alpha",4.49202553771621,0.062759258174789,4.36752388553313,4.6139584568976
"gamma_beta",-0.0262682578227974,0.0128672527291269,-0.049381454100272,0.0010909891363348
"gamma_log_d",0.265553464988392,0.481754868215374,-0.664415469100997,1.19702484215434
"phi",-0.0129607023515761,0.0312004915792873,-0.0739461416782168,0.0482564716223084
"rmse",1.94374472813201,0.0188899110115275,1.90601652376341,1.98011769843502
"sigma_A[1]",0.363545031009933,0.227714192097028,0.0336092222917691,0.86792789978527
"sigma_A[2]",0.415254636718212,0.273375445972095,0.0285746740455811,1.02218945094736
"sigma_A[3]",0.493264077595289,0.276623765310822,0.0382655596636131,1.05575422367617
"sigma_A[4]",0.261978557874181,0.178838856676653,0.0184972132122705,0.662290810907212
"sigma_A[5]",0.270692337227507,0.190072100559235,0.015589775441861,0.713615423501582
"sigma_alpha",1.01264242769026,0.0651051906294131,0.879752043408447,1.13567096567182
"sigma_beta",0.0127786777556102,0.010896799309261,0.000216909849567237,0.03895316354098
"sigma_epsilon",1.9444257487474,0.0296800519069078,1.88652878264415,2.00305239613118
"sigma_log_d",3.65890857918512,2.64330326451636,0.301854603330703,9.49411807097381
