"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",0.0681193293490927,0.142914231781158,-0.227710141241419,0.342537060465625
"gamma_A[2]",-0.123171857838251,0.182715622460529,-0.483098971387999,0.237670282386466
"gamma_A[3]",0.0799866111546647,0.119280915962503,-0.154600691161446,0.313833433683044
"gamma_A[4]",0.161713520589681,0.0949456576037357,-0.0263348676565559,0.344242177204867
"gamma_A[5]",-0.0715299697955022,0.14907206724496,-0.363308691165284,0.221911421111828
"gamma_alpha",2.20556933002161,0.0515683679115208,2.10673305517668,2.30802314254951
"gamma_beta",0.000681799140501501,0.00675558618600169,-0.0120332487787568,0.0129810191727651
"gamma_log_d",-0.596607187153675,0.330369799402389,-1.28383299492265,0.00923870638889719
"phi",-0.0580749695509763,0.0476025577600937,-0.151026722935808,0.0351895545959116
"rmse",0.936114906432959,0.0185517199493422,0.899460467573594,0.972127195654177
"sigma_A[1]",0.554831659885162,0.252597911528905,0.0478463389610747,0.983429451570149
"sigma_A[2]",1.29785819441217,0.232641880576211,0.861861287927639,1.77385950850785
"sigma_A[3]",0.402316484335786,0.230743353378344,0.0157779861101088,0.819216126035376
"sigma_A[4]",0.131479081630266,0.0943380638455166,0.00925853094156876,0.354371738003125
"sigma_A[5]",1.54316405303634,0.116771225642653,1.32358186960633,1.782104249017
"sigma_alpha",0.195980291071566,0.0890158239460904,0.0251625940261169,0.346375606488317
"sigma_beta",0.00546028049853649,0.00441656545465432,6.67872014865399e-05,0.016254389064744
"sigma_epsilon",0.936838558489242,0.0247242010978732,0.888891006979599,0.985734183375485
"sigma_log_d",1.48727897040644,0.419790849375655,0.80007066022723,2.42473160467995
