"","Mean","SD","Lower_95","Upper_95"
"gamma_A[1]",-0.0251041059194649,0.0967472920841039,-0.210226360888384,0.165082312028231
"gamma_A[2]",0.0758243182608321,0.106625612973352,-0.133553451227106,0.278160232644284
"gamma_A[3]",0.224722881318562,0.0948111479706242,0.0311980162806572,0.405393006836182
"gamma_A[4]",-0.0213485181325235,0.0754745378258352,-0.168547637177092,0.135036055492294
"gamma_A[5]",0.0916292725077722,0.0776636430749147,-0.062187665075384,0.244780862908198
"gamma_alpha",7.13389543567239,0.0493384548690929,7.03929430914657,7.23586626116715
"gamma_beta",-0.00765692211893065,0.00781151847072654,-0.0232892094266161,0.00859068127556076
"gamma_log_d",0.321313098260634,0.490931650173075,-0.638148787526219,1.2847333819286
"phi",-0.0278880294266721,0.0505739411675383,-0.127265218102281,0.0709144615211494
"rmse",0.704235442861377,0.0121605830833283,0.67952079689661,0.727422882122805
"sigma_A[1]",0.203429759175393,0.112171014484744,0.013098362432395,0.424930036956994
"sigma_A[2]",0.13983216038729,0.0968028388118,0.00881865405695095,0.351613056739503
"sigma_A[3]",0.2574578974996,0.130521314835192,0.0190708115469458,0.498072074132557
"sigma_A[4]",0.121311048918202,0.0879545473208418,0.0058686350805503,0.321772670090689
"sigma_A[5]",0.223911547983858,0.123002334701787,0.0173140663827309,0.466401504105583
"sigma_alpha",0.103503686537417,0.0616967967007991,0.00508249661537147,0.225089979882793
"sigma_beta",0.00951754396038187,0.00606692657139733,0.000662094472821634,0.0226328467283989
"sigma_epsilon",0.704912316147165,0.0182538856983565,0.669356095884361,0.740983839529623
"sigma_log_d",5.72315366427588,2.48352001858628,1.2610019422877,9.77884707506208
